fname,label
0001_0001.wav,ปราสาทหินผุๆ พังๆ กลางแดดเปรี้ยงเชียวนะคุณ
0001_0002.wav,"ทั้งแอฟริกัน , ไวโอเล็ต , พิทูเนีย"
0001_0003.wav,ฮูย คุณน้ำผึ้งฮะ นี่แหละกลิ่นสวรรค์เลยนะ
0001_0004.wav,ต้องแอบถ่ายตอนหลับเพราะสายตาเด็กยังอ่อนไม่ควรโดนแฟลช
0001_0005.wav,ไม่น่าแปลกใจถ้าหากว่ามันมาจากปารีส
0001_0006.wav,สูทหรือผูกไทแบบหนุ่มทำงานออฟฟิศทั่วไป
0001_0007.wav,คุณผู้ชายมีนัยน์ตาวาววับขึ้นอย่างกราดเกรี้ยวอีก
0001_0008.wav,ไปสมัครเข้าฟิตเนสอีกครั้งหนึ่ง ไปนวดฝ่าเท้า
0001_0009.wav,ฉันไม่เห็นยายปุ๋มลูกสาวคนเล็กของแคลร่าเสียหลายปี
0001_0010.wav,พิมพ์ลภัสมองฟลอร์เต้นรำด้วยหางตา
0001_0011.wav,พวกสาวๆ ที่เคยปลื้มว่านายพลเก่งน่ะ
0001_0012.wav,กลายเป็นพวกกลัวดอกพิกุลจะร่วงจากปากกันทั้ง
0001_0013.wav,เรื่องจะฉาวไปว่าเขามีจดหมายแบล๊คเมล์ในครอบครอง
0001_0014.wav,สุ้มเสียงนั้นคล้ายกับปลงก่อนเปลี่ยนเป็นจริงจังขึ้นเมื่อเอ่ยว่า
0001_0015.wav,วาจะออกไปส่งนายรักษ์กับนายบี๋ฮะ
0001_0016.wav,เดี๋ยวเขาเปิดผลัวะผละเข้ามามิตรภาพจะขาดสะบั้น
0001_0017.wav,สมัครจะกินเงินเดือนแค่แคชเชียร์บ้านนอก
0001_0018.wav,จินตะหรากรี๊ดพลางฟาดแขนผู้พูดดังเผียะ
0001_0019.wav,แต่ก็ได้ไขว้เขวจำนำจำนองแก้ขัดไปได้
0001_0020.wav,ปีก่อนตอนไปติดตั้งเครื่องที่เทกซัส
0001_0021.wav,แต่ทางโน้นไม่มีวันเตรียมตัวรับหล่อนได้อย่างถูกต้องแน่
0001_0022.wav,ร่างผอมเกร็งนั้นไต่เดียะขึ้นต้นไม้อย่าง
0001_0023.wav,เหมือนทารกอิ่มนมแล้วพลิกผละหลับผล็อยไป
