fname,label
common_voice_th_34926492.wav,มียุทธศาสตร์ในการศึกษาให้รัฐสภามุ่งสู่ความเป็นรัฐสภาที่ทันสมัย
common_voice_th_34926493.wav,รีวิวขอนแก่น
common_voice_th_34926494.wav,ถ้าอำนาจชื่นชมคุณ แปลว่าคุณกำลังทำอะไรพลาดสักอย่าง
common_voice_th_34926495.wav,ลองไล่ประวัติโรงเรียนตัวเองดู เจอร่องรอยคณะราษฎรบ้างไหม
common_voice_th_34926497.wav,ไม่กี่ปีที่แล้วยังเห็นคนตื่นตัวทางการเมือง ห่วงผลประโยชน์ของชาติเยอะมาก ทุกวันนี้หายไปไหนซะเยอะเลย
common_voice_th_34926662.wav,ทีนี้เอกชนอาจจะบอกว่า ที่เก็บข้อมูลนี่เพื่อช่วยการดำเนินการของรัฐนะ
common_voice_th_34926663.wav,รายละเอียดว่าจะส่งเครื่องไปเปลี่ยนแบตในราคาพิเศษยังไง ทางแอปเปิลจะแจ้งเพิ่มเติมทาง ก็รอดู
common_voice_th_34926664.wav,ทุกฉายหนัง
common_voice_th_34926665.wav,คือแกมาทางด้านศึกษาเมือง แต่หัวข้อที่มาพูดเป็นเรื่องการควบคุมโครงสร้างสื่อกับประชาธิปไตย
common_voice_th_34926666.wav,โดนน้ำ
common_voice_th_34926834.wav,เอนกายไถเฟซบุ๊ก
common_voice_th_34926835.wav,ก็ไม่ใช่อีก นากคือโลหะผสม
common_voice_th_34926836.wav,ส่วนยอดทีมต้องอาร์เซนอลครับ
common_voice_th_34926837.wav,มูลนิธิสยามกัมมาจล
common_voice_th_34926838.wav,สรุปเอธิโอเปียได้แค่ค่าเช่าสถานที่
common_voice_th_34926859.wav,รับส่งข้อมูลได้ปริมาณสูงสุดในเวลาเท่ากัน
common_voice_th_34926860.wav,- กลับรถในที่ห้ามกลับ เส้นอโศกนี่กลับรถตรงทางม้าลายเลย โนแคร์คนข้าม
common_voice_th_34926861.wav,ยาระบายไม่ต้อง
common_voice_th_34926862.wav,ถ้านับถือศาสนาต่างไปจากที่รัฐสนับสนุนก็ถูกเลือกปฏิบัติอีก
common_voice_th_34926863.wav,ไปฉี่ในโรงพยาบาล ไม่กล้ากดน้ำ กลัวเอาน้ำรัฐมาใช้เรื่องส่วนตัว ปล่อยเหม็นไปละกัน แฮ่
common_voice_th_34928552.wav,ปอร์เช่ไม่เอา จะเอารถไฟความเร็วสูง ขอตัน
common_voice_th_34928553.wav,อันนี้ควรทำได้
common_voice_th_34928554.wav,ผมท้องเสียบ่อยมากครับ
common_voice_th_34928555.wav,อย่างน้อย
common_voice_th_34928556.wav,สงสัยบริษัทเขากลัวคนจะเก็บไปกินต่อ
common_voice_th_34928872.wav,มันมีทุกวัน
common_voice_th_34928873.wav,เอาไว้เย็บกระทงตะโก้
common_voice_th_34928874.wav,ยกเลิกโรมมิง และรับประกันความเป็นกลางของอินเทอร์เน็ต
common_voice_th_34928875.wav,เพิ่งเพิ่มภาพตัวอย่างเข้าไปที่ท้ายบล็อก
common_voice_th_34928876.wav,คำคงศักดิ์ หัวหน้า พรรคสามัญชน เขาเป็นนักกิจกรรมทางสังคมด้านทรัพยากรธรรมชาติและสิ่งแวดล้อม
common_voice_th_34928889.wav,ทำนโยบายเพื่อนำเสนอต่อประชาชนเทศบาลเมืองมุกดาหาร โดยทีมงานคณะก้าวหน้ามุกดาหาร
common_voice_th_34928890.wav,เราไม่ลืม
common_voice_th_34929234.wav,ถ้ารัฐบาลคณะราษฎรไม่ยกเอาที่ดินตรงนั้นจากเจ้ามาให้จุฬา
common_voice_th_34929235.wav,อีกไม่ถึงเดือนจะถึงวันเลือกตั้งแล้ว !
common_voice_th_34929236.wav,นักศึกษาประท้วง : รวมคำและวลีจากแฟลชม็อบของคนรุ่นใหม่ที่คนรุ่นเก่าอาจไม่เข้าใจ
common_voice_th_34929237.wav,"พอเป็นเรื่องของชุมชน มันเลยเป็นเรื่อง""พฤตินัย""มากกว่านิตินัย"
common_voice_th_34929238.wav,มิตรสหายนักพากย์มวยท่านหนึ่ง นักมวยชื่อฝนหลวง
common_voice_th_34929300.wav,เสื้อวิ่ง
common_voice_th_34929301.wav,ถ้าทุกคนคิดถึงความต้องการของตลาดก่อนจะประดิษฐ์อะไรขึ้นมา เราน่าจะคิดได้ไม่ไกลไปกว่าช่วงชีวิตของเรา
common_voice_th_34929302.wav,ต้มซุปต้องใส่กระเทียมไหม
common_voice_th_34929303.wav,และจะไม่ใช่ครั้งสุดท้าย
common_voice_th_34929304.wav,พอลดไม่ได้แล้ว ก็กลับมาที่ลำดับความสำคัญ จะจัดให้ใครไปก่อน-ไปได้เยอะกว่า-ไกลกว่าในเวลาเท่ากัน
common_voice_th_34929392.wav,นี่ก็จะ
common_voice_th_34929393.wav,แล้วหลังจาก
common_voice_th_34929394.wav,อ้างจัดสัมมนาวิชาการไม่แจ้ง พร้อมสั่งจับตาตลอดเวที
common_voice_th_34929395.wav,ตกลง เครื่องรับเหรียญบนรถเมล์นี่จะได้ใช้เมื่อไรนะ ไม่ต้องบัตรแมงมุมหรอก อันนั้นสิ้นหวังละ
common_voice_th_34929396.wav,ลองเช็กดูครับ
common_voice_th_34929404.wav,การที่คนเราจะเลือกเป็นสมาชิกพรรคการเมือง-สนับสนุนความคิดทางการเมืองแบบไหน
common_voice_th_34929405.wav,เช่นเดียวกัน
common_voice_th_34929406.wav,ของดจัดคืนนี้ครับ
common_voice_th_34929408.wav,เพิ่ง - เพิ่งนึกได้ เพิ่งเจอ
common_voice_th_34929420.wav,โดยคนทั่วไปจะเข้าห้างได้หลังแปดโมง เริ่มตั้งแต่พรุ่งนี้ไปจนถึงอย่างน้อยวันศุกร์
common_voice_th_34929421.wav,ถ้าเป็นสินค้าที่ไม่ใช่สินค้าปลอดอากรอยู่แล้ว เช่น อาหาร หนังสือ ในพื้นที่ผู้โดยสารระหว่างประเทศ
common_voice_th_34929422.wav,-สงครามยาเสพติด ฟิลิปปินส์
common_voice_th_34929423.wav,เพียงอยากให้การศึกษาผ่านการเล่นเกมกับคนที่จิตใจดี แต่อาจจะลืมนึก ว่าเราได้ประโยชน์จากระบบแบบนี้อยู่
common_voice_th_34929424.wav,เบียร์ค้างคืน แทนที่จะทิ้ง ยังเอามากินอีก แถมยังต้องถ่อไปถึงพัทยา มนุษยชาติ
common_voice_th_34929436.wav,"แล้วใช้คำว่าไรอ่ะสุดท้าย ""ตลาด"" ?"
common_voice_th_34929437.wav,ที่เชียงใหม่ กลายเป็นของปิ้งย่างยอดนิยมของขาเบียร์
common_voice_th_34929438.wav,ไม่ใช่วลี
common_voice_th_34929439.wav,ยืนยันจำนวนผู้เสียหาย
common_voice_th_34929440.wav,รายการไม่ตรงตามผัง
common_voice_th_34929456.wav,ควรตั้งเก้าอี้เปล่าไว้บนเวทีพร้อมป้ายชื่อพรรค
common_voice_th_34929457.wav,แต่สิ่งที่เกิดขึ้นคือ
common_voice_th_34929458.wav,เคยมาอ่านกวีที่นี่
common_voice_th_34929459.wav,เก็บข้อมูลเราทำไม ?
common_voice_th_34929460.wav,ทุ่งใหญ่นเรศวร
common_voice_th_34929542.wav,ทั้งนี้ตัวตลาดปิดเพื่อปรับปรุงมาเป็นเวลา สาม ปีแล้ว แต่ยังไม่มีท่าทีว่างานจะเสร็จเมื่อไหร่
common_voice_th_34929543.wav,พอกดปุ๊บ น่าจะเข้าไปที่โหมดแก้ไข แต่คนอื่นจะยังไม่เห็นที่เราแก้ จนกว่าเจ้าของเอกสารเขาจะอนุมัติครับ
common_voice_th_34929545.wav,ท้องจะร่วงไปเลย ไม่มีอะไรให้เสียอีกต่อไป
common_voice_th_34929546.wav,คอนกรีตเอาไว้ประสานก้อหินเข้าด้วยกัน
common_voice_th_34929547.wav,ไม่ว่าจะฟ้องหรือไม่มันก็มีผล เราควรทำให้คนสบายใจที่จะบอกว่าตัวเองอาจป่วย
common_voice_th_34929588.wav,เป็นปัญหาแน่ถ้าไม่มีการคัดกรอง แต่อยากให้ดูภาพนี้ เรามองเฉพาะที่อยากเห็นรึเปล่า ผีน้อย
common_voice_th_34929589.wav,- ชนประตูรถที่เปิดกระทันหัน
common_voice_th_34929590.wav,ดูสิ ความไม่มีการศึกษาเรื่องนี้ของกู เดี๋ยวขอค้นใหม่ ลบอันนี้ทิ้งก่อน
common_voice_th_34929591.wav,ตำรวจได้เข้าไปพูดคุยให้คำแนะนำกับเจ้าชายหลังพบภาพ
common_voice_th_34929592.wav,เราจึงทำงานร่วมกับผู้สมัครองค์กรปกครองส่วนท้องถิ่น
common_voice_th_34930138.wav,ปราบดาภินิหารย์ของท่านคิมก็จะยิ่งแผ่ไพศาลมากเท่านั้น
common_voice_th_34930139.wav,การประกอบอาชีพ
common_voice_th_34930140.wav,ประกาศ มูลนิธิเพื่อผู้บริโภค ยินดีรับร้องเรียนทหาร
common_voice_th_34930141.wav,อ่านบทสัมภาษณ์เต็มที่
common_voice_th_34930142.wav,ที่มาเลเซีย
